order_id,customer_name,email,phone,order_date,product_name,category,quantity,price,status
#1000,Sarah Smith,sarah.smith@example.com,289-804-7912,,Running Shoes,Clothing,8.0,357.66,Shipped
ORD1001,JAMES RODRIGUEZ,,,2023-01-23,AirPods,Electronics,10.0,123.44,Shipped
1002,Michael Davis,michael.davis@example.com,414-886-5374,2023-11-08,Mens T-shirt,Clothing,6.0,507.27,Delivered
ORD-1003,William Williams,william.williams@example.com,346-471-3287,2024-01-18,data science handbook,Books,2.0,100.17,Cancelled
order1004,michael wilson,michael.wilson@example.com,317-898-9797,2023-05-31,Jeans,Clothing,3.0,309.52,Delivered
order1005,Matthew Miller,matthew.miller@example.com,700-219-2832,2023-06-07,Samsung Galaxy,Electronics,3.0,85.74,Cancelled
1006,Daniel Miller,daniel.miller@example.com,323-453-4681,2023-04-28,Men's T-Shirt,Clothing,6.0,51.8,Cancelled
order1007,Daniel Jones,daniel.jones@example.com,296-299-8062,2024-01-09,iPhone13,Electronics,9.0,274.67,Cancelled
order1008,Sarah Johnson,sarah.johnson@example.com,370-616-8956,2023-01-31,python programming,Books,9.0,400.49,Pending
order1009,Jane Johnson,jane.johnson@example.com,270-809-2113,2023-10-19,iPhone13,Electronics,6.0,150.81,Pending
ORD1010,Thomas Lee,,471-335-6718,2023-03-22,COFFEE MAKER,Home & Garden,2.0,448.02,Delivered
order1011,ROBERT HERNANDEZ,robert.hernandez@example.com,,2023-01-02,RUNNING SHOES,Clothing,2.0,567.57,Pending
ORD1012,Michelle Jackson,michelle.jackson@example.com,566-415-5088,2023-07-28,mens tshirt,Clothing,6.0,471.6,Shipped
#1013,Richard Johnson,richard.johnson@example.com,433-428-1387,2023-02-05,VacuumCleaner,Home & Garden,5.0,32.56,Pending
ORD1014,michelle miller,michelle.miller@example.com,954-886-4228,2023-06-19,COFFEE MAKER,Home & Garden,9.0,85.09,Delivered
1015,Daniel Smith,daniel.smith@example.com,891-418-9375,2024-01-12,MacBook Pro,Electronics,1.0,37.26,Shipped
ORD1016,Christopher Wilson,christopher.wilson@example.com,675-251-5082,2023-12-08,Vaccuum Cleaner,Home & Garden,8.0,275.53,Cancelled
#1017,WILLIAM TAYLOR,william.taylor@example.com,,2023-12-28,AIRPODS,Electronics,7.0,543.84,Cancelled
1018,john lopez,john.lopez@example.com,699-424-5471,2023-12-09,jeans,Clothing,1.0,59.52,Delivered
ORD-1019,thomas hernandez,thomas.hernandez@example.com,,2023-06-29,iPhone 13,Electronics,,99.9,Pending
ORD-1020,Robert Taylor,robert.taylor@example.com,,2023-02-25,Macbook Pro,Electronics,4.0,70.11,Pending
ORD-1021,Jennifer Williams,,701-308-8102,2023-12-29,PYTHON PROGRAMMING,Books,8.0,284.27,Pending
1022,Lisa Taylor,lisa.taylor@example.com,563-464-6576,2023-05-22,Samsung Galaxy,Electronics,8.0,274.41,Delivered
ORD-1023,Lisa Martinez,lisa.martinez@example.com,538-560-8434,2024-01-05,coffee maker,Home & Garden,10.0,176.96,Shipped
#1024,Emily Martinez,emily.martinez@example.com,329-853-9042,2023-08-29,Data Science Handbook,Books,2.0,246.41,Pending
1018,john lopez,john.lopez@example.com,699-424-5471,2023-12-09,jeans,Clothing,1.0,59.52,Delivered
order1026,Daniel Anderson,daniel.anderson@example.com,802-639-6003,2024-01-14,running shoes,Clothing,1.0,251.02,Delivered
ORD-1027,Thomas Williams,thomas.williams@example.com,635-317-9922,2023-03-14,SAMSUNG GALAXY,Electronics,8.0,416.31,Pending
#1030,John Rodriguez,john.rodriguez@example.com,,2023-09-09,data science handbook,Books,8.0,180.04,Delivered
ORD1031,Richard Moore,richard.moore@example.com,,2023-11-17,SAMSUNG GALAXY,Electronics,2.0,27.02,Pending
ORD1032,Lisa Brown,lisa.brown@example.com,922-479-7807,2023-10-10,PYTHON PROGRAMMING,Books,7.0,210.52,Delivered
1033,Christopher Jones,christopher.jones@example.com,529-393-4912,2023-07-30,Vaccuum Cleaner,Home & Garden,8.0,579.24,Delivered
1034,Thomas Brown,,,2023-02-08,Vaccuum Cleaner,Home & Garden,7.0,572.93,Pending
