order_id,customer_name,email,phone,order_date,product_name,category,quantity,price,status
#1000,Sarah Smith,sarah.smith@example.com,(289)-804-7912,12/13/2025,Running Shoes,Clothing,8,$357.66,Shippd
ORD1001,JAMES RODRIGUEZ,,,"Jan 23, 2023",AirPods,Electronics,10,$123.44,SHIPPED
1002,Michael Davis,michael.davis@example.com,414.886.5374,08-11-2023,Mens T-shirt,Clothing,6,507.27,Deliverd
ORD-1003,William	Williams,william.williams@example.com,346-471-3287,18 January 2024,data science handbook,BOOKS,2,$100.17,CNCLLD
order1004,michael wilson,michael.wilson@example.com,3178989797,"May 31, 2023",Jeans,Clothing,3,$309.52,Complete
order1005,  Matthew  Miller  ,matthew.miller@example.com,7002192832,07-06-2023,Samsung Galaxy,Elec,3,85.74,cancelled
1006,Daniel Miller,daniel.miller@example.com,(323)-453-4681,28 April 2023,Men's T-Shirt,Clothing,6,$51.8,cancelled
order1007,Daniel Jones,daniel.jones@example.com,2962998062,01/09/2024,iPhone13,Electronics,9,274.67,CNCLLD
order1008,Sarah Johnson,sarah.johnson@example.com,(370) 616-8956,31-01-2023,python programming,Book,9,400.49,PENDING
order1009,Jane Johnson,  jane.johnson@example.com  ,270.809.2113,19-10-2023,iPhone13,Electronics,6,150.81,Pending
ORD1010,Thomas Lee,,(471)-335-6718,"Mar 22, 2023",COFFEE MAKER,Home & Garden,2,$448.02,Complete
order1011,ROBERT HERNANDEZ,robert.hernandez@example.com,,2023-01-02,RUNNING SHOES,Clot,2,$567.57,PENDING
ORD1012,  Michelle  Jackson  ,michelle.jackson@example.com,566.415.5088,28 July 2023,mens tshirt,Clothing,6,471.6,Shipped
#1013,Richard Johnson,richard.johnson@example.com,433.428.1387,2023-02-05,VacuumCleaner,Home & Garden,5,32.56,Pnding
ORD1014,michelle miller,michelle.miller@example.com,9548864228,19 June 2023,COFFEE MAKER,Home & Garden,9,85.09,Deliverd
1015,  Daniel  Smith  ,daniel.smith@example.com,(891) 418-9375,12-01-2024,MacBook  Pro,ELECTRONICS,1,37.26,Shippd
ORD1016,Christopher Wilson,christopher.wilson@example.com,(675)-251-5082,08 December 2023,Vaccuum Cleaner,Home & Garden,8,275.53,cancelled
#1017,WILLIAM TAYLOR,william.taylor@example.com,,28-12-2023,AIRPODS,Electronics,7,543.84,Canceled
1018,john lopez,john.lopez@example.com,(699) 424-5471,"Dec 09, 2023",jeans,Clothing,1,59.52,delivered
ORD-1019,thomas hernandez,THOMAS.HERNANDEZ@EXAMPLE.COM,,29-06-2023,iPhone 13,Electronics,0,$99.9,P
ORD-1020,Robert Taylor,robert.taylor@example.com,,25 February 2023,Macbook Pro,Electronics,4,70.11,PENDING
ORD-1021,Jennifer Williams,,7013088102,29-12-2023,PYTHON PROGRAMMING,Books,8,284.27,PENDING
1022,Lisa Taylor,lisa.taylor@example.com,5634646576,22 May 2023,Samsung Galaxy,Elec,8,$274.41,delivered
ORD-1023,Lisa Martinez,lisa.martinez@example.com,5385608434,05-01-2024,coffee maker,Home,10,$176.96,SHIPPED
#1024,Emily	Martinez,emily.martinez@example.com,(329)-853-9042,"Aug 29, 2023",Data Science Handbook,Books,2,$246.41,pending
1018,john lopez,JOHN.LOPEZ@EXAMPLE.COM,(699) 424-5471,"Dec 09, 2023",jeans,Clothing,1,59.52,delivered
order1026,Daniel Anderson,daniel.anderson@example.com,+1-802-639-6003,01/14/2024,running shoes,Clothing,1,251.02,DELIVERED
ORD-1027,Thomas Williams,thomas.williams@example.com,635-317-9922,03/14/2023,SAMSUNG GALAXY,Electronics,8,416.31,P
#1013,Richard Johnson,richard.johnson@example.com,433.428.1387,2023-02-05,VacuumCleaner,Home & Garden,5,32.56,Pnding
order1007,Daniel Jones,daniel.jones@example.com,2962998062,01/09/2024,iPhone13,Electronics,9,274.67,CNCLLD
#1030,John Rodriguez,john.rodriguez@example.com,,09/09/2023,data science handbook,Books,8,180.04,DELIVERED
ORD1031,Richard Moore,richard.moore@example.com,,"Nov 17, 2023",SAMSUNG GALAXY,Electronics,2,27.02,P
ORD1032,Lisa Brown,lisa.brown@example.com,(922) 479-7807,10-10-2023,PYTHON PROGRAMMING,Books,7,210.52,Complete
1033,Christopher Jones,christopher.jones@example.com,+1-529-393-4912,07/30/2023,Vaccuum Cleaner,Home & Garden,8,$579.24,Delivered
1034,Thomas Brown,,,"Feb 08, 2023",Vaccuum Cleaner,Home & Garden,7,572.93,pending
1035,Maria Davis,maria.davis@example.com,,01/15/2023,COFFEE MAKER,Home & Garden,3,$110.28,CNCLLD
ORD-1036,christopher martin,christopher.martin@example.com,494-893-9955,2023-10-28,data science handbook,Books,4,,CANCELLED
ORD-1003,William	Williams,william.williams@example.com,346-471-3287,18 January 2024,data science handbook,BOOKS,2,$100.17,CNCLLD
ORD-1038,Maria Davis,  maria.davis@example.com  ,897.340.2591,08/14/2023,Coffee Maker,Home & Garden,9,527.1,CANCELLED
ORD1039,James Brown,,+1-892-941-7511,2023-01-08,Air Pods,Electronics,6,$73.91,P
#1040,Daniel Hernandez,daniel.hernandez@example.com,864-618-2911,11/20/2025,Vacuum Cleaner,Home and Garden,9,257.27,CNCLLD
#1041,William Johnson,william.johnson@example.com,,2023-11-27,Air Pods,Electronics,4,$388.60,delivered
#1042,Michelle	Miller,  michelle.miller@example.com  ,810-202-5542,03/31/2023,Samsung Galaxy,Electronics,5,40.91,Complete
ORD1043,Thomas	Moore,thomas.moore@example.com,(858) 231-1996,"Feb 25, 2023",Python Programming,Books,10,333.52,Cancelled
#1044,Sarah Jackson,sarah.jackson@example.com,6086252557,11-07-2023,Python Programming,Books,3,338.25,Deliverd
ORD-1045,Jane Martinez,,358-872-8900,2023-10-12,macbook pro,Electronics,10,408.23,pending
#1046,  Maria  Hernandez  ,  maria.hernandez@example.com  ,,"Aug 03, 2023",COFFEE MAKER,Home & Garden,1,$101.78,PENDING
1047,Linda Thomas,LINDA.THOMAS@EXAMPLE.COM,+1-894-807-8972,22 July 2023,iphone 13,Electronics,6,80.78,Ship
1048,Jennifer Williams,,+1-520-789-8033,05/29/2023,python programming,Books,7,$508.24,CNCLLD
ORD-1019,thomas hernandez,THOMAS.HERNANDEZ@EXAMPLE.COM,,29-06-2023,iPhone 13,Electronics,0,$99.9,P
order1050,Michael Moore,michael.moore@example.com,(860)-351-4871,05-11-2023,SamsungGalaxy,Electronics,10,389.36,Cancelled
ORD-1051,Maria Rodriguez,maria.rodriguez@example.com,,16 February 2023,DataScience Handbook,Books,10,394.57,PENDING
ORD1052,Michael Moore,michael.moore@example.com,3625727108,14 December 2023,MacBook Pro,Electronics,10,525.23,cancelled
ORD-1053,Michael Martinez,michael.martinez@example.com,901.739.2531,2023-01-10,coffee maker,Home & Garden,3,$55.52,PENDING
#1054,Matthew Jones,matthew.jones@example.com,(369)-938-8170,"May 02, 2023",vacuum cleaner,Home & Garden,4,227.02,CNCLLD
#1055,Emily Miller,emily miller@email.com,(767)-305-9452,"May 20, 2023",Jeans,Clothing,1,254.78,Shipped
#1056,Sarah Hernandez,,683.912.3273,02/10/2023,coffee maker,Home & Garden,5,$150.2,Shippd
order1057,matthew taylor,matthew.taylor@example.com,+1-498-639-1025,04/06/2023,Coffee Maker,Home & Garden,5,$450.91,Shipped
ORD-1058,James	Jones,james.jones@example.com,912-690-3986,08/23/2023,Coffee Maker,Home & Garden,7,593.57,Delivered
1059,JAMES RODRIGUEZ,james.rodriguez@example.com,3917089151,"Feb 12, 2023",airpods,Electronics,5,273.08,Complete
ORD-1060,william johnson,WILLIAM.JOHNSON@EXAMPLE.COM,894-648-1570,2023-07-07,PYTHON PROGRAMMING,Book,10,91.23,pending
1061,RICHARD JACKSON,richard.jackson@example.com,(404)-325-3223,08/16/2023,Vacuum Cleaner,Home & Garden,3,$478.27,shipped
